GemeenteCode;GemeenteNaam;PartijNaam;AantalStemmen
50;Zeewolde;Splinter;40
50;Zeewolde;Staatkundig Gereformeerde Partij (SGP);243
50;Zeewolde;U-Buntu Connected Front;1
50;Zeewolde;VVD;3704
50;Zeewolde;Volt;272
59;Achtkarspelen;50PLUS;85
59;Achtkarspelen;BBB;418
59;Achtkarspelen;BIJ1;19
59;Achtkarspelen;CDA;3047
59;Achtkarspelen;CODE ORANJE;67
59;Achtkarspelen;ChristenUnie;1603
59;Achtkarspelen;D66;1071
59;Achtkarspelen;DENK;7
59;Achtkarspelen;De Groenen;2
59;Achtkarspelen;Forum voor Democratie;1652
59;Achtkarspelen;GROENLINKS;365
59;Achtkarspelen;JA21;273
59;Achtkarspelen;JEZUS LEEFT;16
59;Achtkarspelen;JONG;28
59;Achtkarspelen;LP (Libertaire Partij);8
59;Achtkarspelen;Lijst Henk Krol;10
59;Achtkarspelen;NIDA;4
59;Achtkarspelen;NLBeter;8
59;Achtkarspelen;OPRECHT;15
59;Achtkarspelen;PVV (Partij voor de Vrijheid);2923
59;Achtkarspelen;Partij van de Arbeid (P.v.d.A.);1117
59;Achtkarspelen;Partij voor de Dieren;356
59;Achtkarspelen;Partij voor de Republiek;4
59;Achtkarspelen;Piratenpartij;16
59;Achtkarspelen;SP (Socialistische Partij);1077
59;Achtkarspelen;Splinter;28
59;Achtkarspelen;Staatkundig Gereformeerde Partij (SGP);351
59;Achtkarspelen;Trots op Nederland (TROTS);43
59;Achtkarspelen;VVD;2193
59;Achtkarspelen;Volt;123
59;Achtkarspelen;Vrij en Sociaal Nederland;0
60;Ameland;50PLUS;15
60;Ameland;BBB;132
60;Ameland;BIJ1;3
60;Ameland;CDA;453
60;Ameland;CODE ORANJE;11
60;Ameland;ChristenUnie;60
60;Ameland;D66;352
60;Ameland;DENK;2
60;Ameland;De Groenen;0
60;Ameland;Forum voor Democratie;130
60;Ameland;GROENLINKS;93
60;Ameland;JA21;94
60;Ameland;JEZUS LEEFT;0
60;Ameland;JONG;4
60;Ameland;LP (Libertaire Partij);0
60;Ameland;Lijst Henk Krol;2
60;Ameland;NIDA;0
60;Ameland;NLBeter;2
60;Ameland;OPRECHT;1
60;Ameland;PVV (Partij voor de Vrijheid);263
60;Ameland;Partij van de Arbeid (P.v.d.A.);206
60;Ameland;Partij voor de Dieren;97
60;Ameland;Partij voor de Republiek;0
60;Ameland;Piratenpartij;6
60;Ameland;SP (Socialistische Partij);126
60;Ameland;Splinter;8
60;Ameland;Staatkundig Gereformeerde Partij (SGP);9
60;Ameland;Trots op Nederland (TROTS);8
60;Ameland;VVD;753
60;Ameland;Volt;51
60;Ameland;Vrij en Sociaal Nederland;2
72;Harlingen;50PLUS;130
72;Harlingen;BBB;79
72;Harlingen;BIJ1;24
72;Harlingen;CDA;1202
72;Harlingen;CODE ORANJE;33
72;Harlingen;ChristenUnie;347
72;Harlingen;D66;1101
72;Harlingen;DENK;11
72;Harlingen;De Groenen;1
72;Harlingen;Forum voor Democratie;666
72;Harlingen;GROENLINKS;338
72;Harlingen;JA21;220
72;Harlingen;JEZUS LEEFT;8
72;Harlingen;JONG;11
72;Harlingen;LP (Libertaire Partij);5
72;Harlingen;Lijst Henk Krol;8
72;Harlingen;NIDA;7
72;Harlingen;NLBeter;4
72;Harlingen;OPRECHT;10
72;Harlingen;PVV (Partij voor de Vrijheid);1285
72;Harlingen;Partij van de Arbeid (P.v.d.A.);941
72;Harlingen;Partij voor de Dieren;449
72;Harlingen;Partij voor de Republiek;4
72;Harlingen;Piratenpartij;25
72;Harlingen;SP (Socialistische Partij);820
72;Harlingen;Splinter;23
72;Harlingen;Staatkundig Gereformeerde Partij (SGP);62
72;Harlingen;Trots op Nederland (TROTS);17
72;Harlingen;VVD;1956
72;Harlingen;Volt;136
72;Harlingen;Vrij en Sociaal Nederland;4
74;Heerenveen;50PLUS;255
74;Heerenveen;BBB;636
74;Heerenveen;BIJ1;76
74;Heerenveen;CDA;3382
74;Heerenveen;CODE ORANJE;123
74;Heerenveen;ChristenUnie;1066
74;Heerenveen;D66;4687
74;Heerenveen;DENK;223
74;Heerenveen;De Groenen;2
74;Heerenveen;Forum voor Democratie;2139
74;Heerenveen;GROENLINKS;1403
74;Heerenveen;JA21;576
74;Heerenveen;JEZUS LEEFT;21
74;Heerenveen;JONG;55
74;Heerenveen;LP (Libertaire Partij);10
74;Heerenveen;Lijst Henk Krol;20
74;Heerenveen;NIDA;32
74;Heerenveen;NLBeter;31
74;Heerenveen;OPRECHT;27
74;Heerenveen;PVV (Partij voor de Vrijheid);3018
74;Heerenveen;Partij van de Arbeid (P.v.d.A.);3350
74;Heerenveen;Partij voor de Dieren;1198
74;Heerenveen;Partij voor de Republiek;13
74;Heerenveen;Piratenpartij;63
74;Heerenveen;SP (Socialistische Partij);2521
74;Heerenveen;Splinter;88
74;Heerenveen;Staatkundig Gereformeerde Partij (SGP);129
74;Heerenveen;Trots op Nederland (TROTS);65
74;Heerenveen;VVD;6262
74;Heerenveen;Volt;501
74;Heerenveen;Vrij en Sociaal Nederland;7
80;Leeuwarden;50PLUS;580
80;Leeuwarden;BBB;644
80;Leeuwarden;BIJ1;432
80;Leeuwarden;CDA;6835
80;Leeuwarden;CODE ORANJE;236
80;Leeuwarden;ChristenUnie;2606
80;Leeuwarden;D66;12398
80;Leeuwarden;DENK;452
80;Leeuwarden;De Groenen;5
80;Leeuwarden;Forum voor Democratie;5115
80;Leeuwarden;GROENLINKS;5094
80;Leeuwarden;JA21;1430
80;Leeuwarden;JEZUS LEEFT;49
80;Leeuwarden;JONG;140
80;Leeuwarden;LP (Libertaire Partij);48
80;Leeuwarden;Lijst Henk Krol;57
80;Leeuwarden;NIDA;121
80;Leeuwarden;NLBeter;107
80;Leeuwarden;OPRECHT;36
80;Leeuwarden;PVV (Partij voor de Vrijheid);7478
80;Leeuwarden;Partij van de Arbeid (P.v.d.A.);8140
80;Leeuwarden;Partij voor de Dieren;3975
80;Leeuwarden;Partij voor de Republiek;25
80;Leeuwarden;Piratenpartij;287
80;Leeuwarden;SP (Socialistische Partij);5804
80;Leeuwarden;Splinter;375
80;Leeuwarden;Staatkundig Gereformeerde Partij (SGP);299
80;Leeuwarden;Trots op Nederland (TROTS);164
80;Leeuwarden;VVD;12277
80;Leeuwarden;Volt;1969
80;Leeuwarden;Vrij en Sociaal Nederland;24
85;Ooststellingwerf;50PLUS;182
85;Ooststellingwerf;BBB;627
85;Ooststellingwerf;BIJ1;26
85;Ooststellingwerf;CDA;2044
85;Ooststellingwerf;CODE ORANJE;52
85;Ooststellingwerf;ChristenUnie;629
85;Ooststellingwerf;D66;1690
85;Ooststellingwerf;DENK;17
85;Ooststellingwerf;De Groenen;1
85;Ooststellingwerf;Forum voor Democratie;1194
85;Ooststellingwerf;GROENLINKS;526
85;Ooststellingwerf;JA21;346
85;Ooststellingwerf;JEZUS LEEFT;10
85;Ooststellingwerf;JONG;28
85;Ooststellingwerf;LP (Libertaire Partij);7
85;Ooststellingwerf;Lijst Henk Krol;7
85;Ooststellingwerf;NIDA;1
85;Ooststellingwerf;NLBeter;11
85;Ooststellingwerf;OPRECHT;20
85;Ooststellingwerf;PVV (Partij voor de Vrijheid);2037
85;Ooststellingwerf;Partij van de Arbeid (P.v.d.A.);1391
85;Ooststellingwerf;Partij voor de Dieren;630
85;Ooststellingwerf;Partij voor de Republiek;3
85;Ooststellingwerf;Piratenpartij;28
85;Ooststellingwerf;SP (Socialistische Partij);1344
85;Ooststellingwerf;Splinter;42
85;Ooststellingwerf;Staatkundig Gereformeerde Partij (SGP);159
85;Ooststellingwerf;Trots op Nederland (TROTS);52
85;Ooststellingwerf;VVD;2916
85;Ooststellingwerf;Volt;182
85;Ooststellingwerf;Vrij en Sociaal Nederland;8
86;Opsterland;50PLUS;150
86;Opsterland;BBB;678
86;Opsterland;BIJ1;22
86;Opsterland;CDA;2493
86;Opsterland;CODE ORANJE;47
